Time,CO,C6H6,T,RH,NOx
3,1.7,7.4,18.4,33.2,223
4,2.2,10.3,17.8,36.5,279
5,2.8,13.8,17.8,39.9,330
6,2.4,10.9,17,43,330
7,2.5,11.7,15.5,52.2,341
8,1.4,7.8,15.6,51.9,205
9,1.4,7.7,13.5,59.4,-200
10,-200,5.5,13.4,59.9,130
11,0.9,4.5,12.5,63.2,102
12,0.6,3.3,13.6,57.6,79
13,1,5.4,12.2,63.2,148
14,1.6,8.2,14.6,56.4,261
15,0.9,3,19.8,38.6,107
16,0.9,3,21.6,33.4,103
17,1,3.5,22,32.2,122
18,1,3.6,22.7,30.2,127
19,0.9,4,22.3,30.4,110
20,0.9,4.2,22.1,30.5,98
21,0.9,3.1,22.1,29.5,146
22,0.9,3.5,23.4,27.1,119
23,2.7,10.3,23.1,27,234
0,2.2,7.8,21.5,31.4,261
1,3.3,10.7,20.3,35.5,371
2,2.1,7.3,19.6,36.3,266
3,1.8,7.7,18.7,39.7,268
4,1.9,8.6,18,42.7,294
5,2.3,10,17.1,47.6,303
6,1.9,8.5,16.6,51.3,241
7,1.3,5.8,15.9,55.2,142
8,1,5,14.9,58.9,110
9,0.6,2.9,14.1,61,-200
10,0.6,3.4,14,62.6,104
11,0.9,5.6,14.1,61.7,179
12,1.5,9,14.4,60.3,361
13,5.5,26.9,15,57.7,799
14,4,18.8,16.9,50.3,614
15,1.8,8.2,19.7,40.2,275
16,1.9,9.1,22.2,33.6,325
17,1.7,9.2,23.7,29.6,327
18,1.6,8.3,21.9,30.7,252
19,1.9,9.1,22.3,29.5,226
20,1.6,9.2,23.8,27,230
21,1.8,9.6,23.3,28.3,244
22,2,11.8,24.2,27.2,251
23,3.1,17.3,25.1,25.8,346
0,3.9,17.8,22.3,29.2,407
1,4.3,20.9,20.8,32.5,490
2,3.5,14.9,19.1,36.8,434
3,2.4,11.3,18.1,39.9,345
4,1.5,8.4,17.4,42.8,192
5,1.3,6.8,16.7,46.6,157
6,1,4.9,17.1,46.8,148
7,0.8,3.5,15.3,51.9,105
8,0.5,2.8,15,52.8,141
9,0.4,2.1,14.4,54.5,-200
10,0.5,2.2,12.8,59.8,107
11,0.7,3.9,11.9,62.7,166
12,1.2,7.3,12.1,62.6,241
13,2.4,15.5,13.5,58.2,368
14,4.3,27.1,14.4,55.7,498
15,4.1,21.3,17.8,45.7,641
16,3.7,19.9,21,37.2,667
17,3.4,19.4,24.5,29.8,550
18,3.8,21.8,26.4,26.4,483
19,4.1,21.7,25.2,26.8,524
20,3.4,18.9,26.1,24.8,481
21,2.3,13,26.2,24.4,305
22,3.2,18.8,28.9,21.3,396
23,4.8,26.8,28,23.3,501
0,6.7,36.9,24.7,27.9,702
1,7.5,39.3,23,33.6,755
2,4.5,23.1,20.9,45.8,524
3,2.1,11.6,19.8,48.6,247
4,1.5,8.3,19.8,47.7,196
5,1.1,5.7,18.6,49.1,135
6,1.1,5.9,17.2,53.9,146
7,0.9,4.1,16.3,56.8,106
8,0.5,2.2,17.4,53.4,70
9,0.4,2,15.5,58.8,-200
10,-200,2.2,14.6,62.1,62
11,0.4,2,17.1,52.5,60
12,0.7,4,15.2,58.3,92
13,2,13.4,14.9,59.2,277
14,4.2,28,15.1,59,600
15,5.2,28.6,19,47.8,693
16,3.8,21.4,22.4,38.8,617
17,3.7,19.1,25.4,33.3,569
18,3.4,19.6,27.2,30.4,409
19,3.1,15.8,25.5,34.8,335
20,2.4,13.5,26.4,28.5,290
21,2.8,15.9,27.7,25.1,312
22,3.6,19.9,28.6,23.2,440
23,4,21.6,27.2,26.3,450
0,5.6,31,25.3,33,578
1,6.3,34.1,23.2,36.9,615
2,4.7,22.8,21.6,43.3,536
3,1.9,12.3,21.1,44.8,238
4,1.9,10.9,19.7,49.3,249
5,1.2,7.1,20.3,47.8,150
6,0.9,5.7,19.4,50.3,108
7,-200,5.3,18.3,53.1,-200
8,-200,2.9,17.5,56.1,-200
9,-200,1.9,19.2,50.3,-200
10,-200,2.4,16.6,59.6,-200
11,-200,4,17.5,57.1,-200
12,-200,8.1,17.6,57.6,-200
13,-200,24.8,18,57,-200
14,-200,36.3,18.5,55.9,-200
15,-200,20.9,18.6,57.2,-200
16,-200,22.2,20.2,53,-200
17,-200,23.5,21.3,50.1,-200
18,1.7,10.8,24.6,42.8,-200
19,1.7,11.2,24.6,44.1,223
20,2.2,15.1,25.6,43.4,267
21,2.8,17.4,26.1,42.6,308
22,3.9,23.4,25.8,44.8,422
23,6.5,35.9,25.4,47.9,623
0,6.3,34,24.6,50,572
1,5.7,30.1,23.6,54.4,514
2,4.4,20,22.6,59.5,414
3,1.6,10.5,22.1,61.3,143
4,1.5,9,22.1,61.3,147
5,1.7,10.7,21.1,64.7,159
6,1.9,10.4,20.3,66.4,206
7,1.6,9.7,19.4,69.3,140
8,1.3,6.9,19,70.8,132
9,0.8,4,20.2,65.8,-200
10,0.6,3,19.8,67.2,81
11,0.7,4.3,19,70.3,120
12,1.6,9.8,18.8,71.8,279
13,2.9,17.2,20.2,66.3,392
14,4.1,27.9,20.8,64.3,433
15,3.7,20.5,22.3,59.3,531
16,3.6,21.2,23.2,56.6,619
17,3.4,19.9,23.8,54.7,522
18,3.7,21.1,23.5,56.2,505
19,4.1,22.3,23.9,54.4,465
20,3.2,-200,-200,-200,383
21,2.4,12.9,25.4,47.4,278
22,3.4,18.4,26.4,45.4,372
23,5.6,26.5,25.8,46.9,540
0,-200,29.4,25.3,49.6,-200
1,-200,33.7,24.2,54.3,-200
2,-200,19.9,22.8,58.1,-200
3,-200,13.5,21.5,63.2,-200
4,-200,11.2,21.3,63,-200
5,-200,9.1,20.8,64.1,-200
6,-200,10.9,20.6,64,-200
7,-200,8.4,20.6,63.4,-200
8,-200,7.1,20.4,64.4,-200
9,-200,4.3,21.3,61,-200
10,-200,4,20.5,64,-200
11,-200,5.8,20.3,65.3,-200
12,-200,6.3,20.1,65.9,-200
13,-200,12.3,20.2,65.6,-200
14,-200,13.3,21.1,62.8,-200
15,-200,12.5,22.5,57.5,-200
16,-200,10.5,24.2,51.9,-200
17,-200,12.1,25.2,48.9,-200
18,-200,12.1,25.8,47.8,-200
19,-200,11.2,25.7,49.2,-200
20,-200,7.2,25.8,49.6,-200
21,-200,8.7,25.7,48.8,-200
22,-200,9.6,26.5,45.9,-200
23,-200,11.6,25.4,48.9,-200
0,-200,12.7,24.4,52.5,-200
1,-200,20.7,23.9,54.6,-200
2,-200,17.8,22.9,57.9,-200
3,-200,11.2,22.1,61.1,-200
4,-200,10.8,20.8,65.6,-200
5,-200,9.4,21.7,60.8,-200
6,-200,8.5,21.1,62.8,-200
7,-200,6.5,20.7,63.2,-200
8,-200,5.1,21.2,61.5,-200
9,-200,4.5,20.3,64.6,-200
10,-200,3.9,20.2,64.4,-200
11,-200,3.3,20.1,65.3,-200
12,-200,3.2,19.9,66,-200
13,-200,5.4,19.8,66.4,-200
14,-200,5.6,20.4,64.1,-200
15,-200,7.5,21.6,60.8,-200
16,-200,10.7,23.5,54.5,-200
17,-200,8.4,25.7,46.6,-200
18,-200,11.3,26.6,43.7,-200
19,-200,8.3,27.4,41.8,-200
20,-200,6,27.4,42.8,-200
21,-200,6.7,27.1,43.3,-200
22,-200,6.2,26.9,44.4,-200
23,-200,7.7,26.9,44.4,-200
0,-200,11,24.7,51.9,-200
1,-200,20.8,23.7,55.6,-200
2,-200,21.4,22.7,59.6,-200
3,-200,10.4,21.9,61.4,-200
4,-200,8.3,22,59.8,-200
5,-200,7.8,20.5,64.9,-200
6,-200,5.5,19.8,66.9,-200
7,-200,5.2,18.4,71.6,-200
8,-200,3.2,18.9,68.6,-200
9,-200,2.7,17.8,72.3,-200
10,-200,3,17.1,73.9,-200
11,-200,4,17.7,70.3,-200
12,-200,5.6,17.1,71.8,-200
13,-200,11.1,18.3,67.5,-200
14,-200,20.1,18.5,67,-200
15,-200,23.6,19.9,61.7,-200
16,-200,21,22.9,52.6,-200
17,-200,21.8,24.2,49,-200
18,-200,22.1,25.8,44.7,-200
19,-200,18.2,26,44.5,-200
20,-200,14.2,27.1,40.2,-200
21,-200,14.9,27.4,39.8,-200
22,-200,21.1,28.9,36.3,-200
23,-200,30.3,28.4,37.5,-200
0,-200,41.6,26,43.9,-200
1,-200,44.7,24.3,49.6,-200
2,-200,21.3,23.3,53,-200
3,-200,10,22.6,55.1,-200
4,-200,8.9,21.2,59.3,-200
5,-200,7.4,20.6,60.9,-200
6,-200,6.4,20,63.1,-200
7,-200,3.7,19.7,63.4,-200
8,-200,2.5,20.8,58.8,-200
9,-200,2.7,17.8,69.8,-200
10,-200,2.5,18.8,65.3,-200
11,-200,4.1,17.6,69.5,-200
12,-200,7.8,17.4,69.7,-200
13,-200,30.8,17.4,70.1,-200
14,-200,26.4,18.5,65.5,-200
15,-200,21.6,20.6,58.5,-200
16,-200,22.8,23.9,48.7,-200
17,-200,19.3,26,43.8,-200
18,-200,30.4,28.6,37.3,-200
19,-200,23.4,27.9,38,-200
20,-200,17.1,28.4,37.6,-200
21,-200,14.6,28.5,37.3,-200
22,-200,21.6,30.8,31.8,-200
23,-200,31.9,29.7,33.1,-200
0,-200,40.5,27,40.2,-200
1,-200,41.6,25.6,47.5,-200
2,-200,23.9,23.9,57.2,-200
3,-200,20.3,22.7,60.8,-200
4,-200,12.8,21.8,59.9,-200
5,-200,8.7,22.4,58.3,-200
6,-200,6.8,21.7,60.2,-200
7,-200,5.3,21.2,61.4,-200
8,-200,4.6,19.3,68.4,-200
9,-200,3.2,19.8,65.1,-200
10,-200,2.8,20,62.9,-200
11,-200,3.6,18.3,68.5,-200
12,-200,6.2,18.1,68.5,-200
13,-200,24.2,17.6,70.5,-200
14,-200,32,18.3,67.8,-200
15,-200,25.8,20.4,61.2,-200
16,-200,16.2,22.5,55.6,-200
17,-200,17.7,25.7,46.4,-200
18,-200,16.5,26.8,44.6,-200
19,-200,18.3,26,46.4,-200
20,-200,14.6,26.3,46,-200
21,-200,17.1,27.4,43.9,-200
22,-200,17.2,29.6,36.7,-200
23,-200,24.6,28.7,37.3,-200
0,-200,26.9,25.7,44.1,-200
1,-200,44,24.5,49.5,-200
2,-200,31,23.3,54.4,-200
3,-200,16.8,22.4,57.9,-200
4,-200,11,22.7,55.8,-200
5,-200,11.4,20.4,62.4,-200
6,-200,9.9,20.3,64.2,-200
7,-200,5,21.4,60.6,-200
8,-200,3.7,20.3,66.3,-200
9,-200,3.1,20.9,62.2,-200
10,-200,2.9,19.9,66.1,-200
11,-200,4.4,19.8,67.1,-200
12,-200,7.4,20.1,64.4,-200
13,-200,19.4,19.7,66.4,-200
14,-200,37.1,20.9,62.4,-200
15,-200,22.2,22.5,57,-200
16,-200,18.5,23.5,53.4,-200
17,-200,14,24.7,48.2,-200
18,-200,15.5,27.1,40.9,-200
19,-200,15.7,25.9,44.2,-200
20,-200,15.7,26.9,41.8,-200
21,-200,12.7,27.2,40.7,-200
22,2.9,15.3,28.6,37.6,267
23,5.4,28.8,28,38.5,398
0,5.3,26.1,25.2,45.8,418
1,6.7,37.1,24,50.6,515
2,7,35.7,23.2,54.7,669
3,2.8,16.5,22.3,57.1,326
4,1.7,11,21.8,58.2,209
5,1.7,10.8,20.9,61.3,183
6,1.7,9.6,20.6,62,165
7,1.2,6.5,20.3,62.5,111
8,0.7,3.6,20.5,62.1,67
9,0.7,3.3,18.7,68.5,-200
10,0.8,4.4,18.2,70.3,88
11,0.9,5.5,18.2,70.1,147
12,1.7,10.8,18.2,70,279
13,5.7,31.2,19.4,66.5,665
14,4.3,24.8,19.5,66.9,592
15,3.9,24.2,21.1,61.1,557
16,5.1,29.5,23.2,54.7,693
17,3.7,21,24.4,52.5,530
18,3.3,19.6,26.4,45.8,412
19,3.6,21.2,27.7,39.2,366
20,3.2,18,28,39.6,344
21,3.5,20.5,28.7,38.4,339
22,2.4,15.6,28.5,39.4,297
23,2.9,19.2,28.4,39.8,294
0,2.3,20,26.4,45.9,211
1,3.1,21.1,25.2,49.5,323
2,2.9,18.6,24.9,50.9,333
3,1.5,12.3,24.6,52.2,163
4,1.5,10.3,24,54.4,151
5,1.7,9.6,23.8,56.1,167
6,1.6,9.9,22.3,60.6,174
7,1.3,8.6,21.9,61.5,142
8,1.4,7.3,21.1,64.5,155
9,0.9,5.4,21,64.4,-200
10,0.9,5.1,21.3,63.9,96
11,1.3,7.8,20.8,66.7,154
12,1.3,8.2,20.6,67.5,211
13,2.9,17.6,20.9,66.3,381
14,3.2,20.1,21.5,63.7,470
15,3.4,18.7,23.7,56,464
16,3.6,19.5,26,48.2,450
17,2.3,13,28.5,42.4,274
18,3.1,18.2,28.1,45.3,306
19,3.3,16.2,29,43.9,308
20,1.9,11,28.9,44.3,186
21,2.6,15.9,29.6,42.3,238
22,2.7,14.2,29.4,42.9,249
23,3.7,19.9,28.7,45.1,378
0,3.8,21.7,27,51.2,386
1,4.8,25.7,26.5,52.7,461
2,3.5,17.3,26.2,51.7,394
3,2.2,11.2,24.8,56.4,266
4,1.5,8.9,24.9,56,158
5,3.4,15.2,24.5,57.5,319
6,3.7,17.2,24.7,56.9,409
7,2,11.9,23.9,59.2,223
8,1.4,8.1,23.8,60.2,107
9,1.1,4.9,23.5,61.3,-200
10,-200,3.6,22.8,64,50
11,0.7,3.7,22.2,65.6,56
12,1.2,6.3,21.3,69.1,163
13,1.3,7.7,21.3,68.2,187
14,1.1,6.3,22.2,65.2,150
15,1,5.6,24.1,59,103
16,1.2,5.1,24.3,61.6,143
17,1.9,9,24.8,59.6,220
18,2.3,9.3,24.5,58.8,301
19,1.6,5.9,21,76.8,214
20,1.3,4.4,19.8,78,162
21,1.8,5.8,19.4,80.5,232
22,1.7,6.6,19.6,79.1,254
23,1.8,7.8,20.8,73.1,224
0,2,8.4,21.1,68.6,247
1,2.2,8.3,21.1,68.3,334
2,1.6,8.1,21.2,67.7,239
3,1.3,6.1,20.8,68.6,168
4,1.5,6.7,20.8,68.1,185
5,1.5,6.6,20.7,68.4,178
6,1.3,6.1,20.1,70.5,132
7,1.4,6,20.2,67.9,135
8,0.5,1.4,19.4,70.4,39
9,0.4,1.7,18.8,73.8,-200
10,0.4,1.9,17.9,77.7,33
11,0.6,3.4,18.2,76.9,90
12,1.1,7.2,18.6,74.9,164
13,2.9,19,19.6,70.3,336
14,3.5,24.5,20.2,66.6,366
15,4.6,25.6,19.7,68.9,565
16,3.4,17.1,19.2,73.4,536
17,2.3,12.3,20,69.6,416
18,2.7,15.2,21.1,64,379
19,3.1,18.3,20.2,67.4,368
20,3.2,17.2,20.2,68.9,444
21,2.5,14.1,21.9,57.6,352
22,3.4,18.3,23.2,52,375
23,4.8,25,21.7,59.1,479
0,4.5,22.2,20.8,61.4,448
1,4,21.4,19.9,64.2,388
2,3.2,16.2,19.7,65.1,376
3,1.9,10.3,20,63.3,224
4,1.9,8.9,19,66.1,206
5,1.3,6.5,18.8,60.9,143
6,1.1,5.1,18.9,60.7,113
7,1,4.6,18.1,65.2,93
8,0.5,2.1,18.3,65.1,58
9,0.6,2.4,18.3,66.9,-200
10,0.5,3.2,17.8,67.5,56
11,0.8,3.9,16.9,66.7,105
12,1.2,6,17.8,60.6,243
13,2.7,13.8,17.6,60.8,492
14,3,14.8,17.9,57.8,435
15,-200,8.4,18.1,56.4,-200
16,-200,9,18.2,55.9,-200
17,-200,8.3,19.7,49.1,-200
18,-200,9.5,20.8,45.8,-200
19,-200,12.1,20.5,46,-200
20,-200,7.4,18.9,50.6,-200
21,-200,8,18.4,51.6,-200
22,-200,7.9,17.9,52.6,-200
23,-200,10.9,17.1,54.2,-200
0,-200,12.1,16.5,56.2,-200
1,-200,14.7,16.7,54.1,-200
2,-200,6,15.4,57.7,-200
3,-200,4.3,15.5,57.1,-200
4,-200,4.1,15.6,55.9,-200
5,-200,3.1,14.8,58.4,-200
6,-200,2.2,14.8,57.9,-200
7,-200,1.5,14.6,57.6,-200
8,-200,0.9,14.6,57.1,-200
9,-200,0.5,14.4,57.6,-200
10,-200,0.6,14.5,57.4,-200
11,-200,0.7,14.3,58.4,-200
12,-200,2.2,14.7,57.4,-200
13,-200,5.8,14.3,58.1,-200
14,-200,5.9,14,58.3,-200
15,1.5,5.9,15.4,53.2,286
16,1.2,5.3,16.5,49.9,281
17,-200,6.9,17.4,47.6,-200
18,-200,7.7,18,46.1,-200
19,-200,7.3,17.9,46.5,-200
20,-200,7.2,17.4,48.3,-200
21,-200,6,16,52.6,-200
22,-200,8.3,15.3,58.7,-200
23,-200,11.2,15.2,55.9,-200
0,-200,10.1,14.8,56.3,-200
1,-200,10.6,14.7,57.8,-200
2,-200,7.2,14.8,57.3,-200
3,-200,4.4,14.9,57.1,-200
4,-200,3.8,15.2,55.5,-200
5,-200,3.8,15.3,55.4,-200
6,-200,4,15.1,56.9,-200
7,-200,2.2,15,56.4,-200
8,-200,1.1,14.9,56.4,-200
9,-200,0.8,15.2,54.7,-200
10,-200,0.8,15.1,55.4,-200
11,-200,1.2,14.9,56.8,-200
12,-200,3.2,15.2,55.9,-200
13,-200,10.2,15.3,56.3,-200
14,-200,13.6,15.6,55.4,-200
15,-200,9.9,16.3,53.3,-200
16,-200,9.1,20.4,42.2,-200
17,-200,8,21.9,39.4,-200
18,-200,9.7,21.5,41.2,-200
19,-200,9.7,22.2,41.4,-200
20,-200,12,21,46.8,-200
21,-200,11.3,21.9,44.9,-200
22,-200,10.4,21.5,46.7,-200
23,-200,12.4,19.7,56.6,-200
0,-200,14.6,18.8,60.8,-200
1,-200,21,19.3,59.6,-200
2,-200,17.9,17.6,69.2,-200
3,-200,7.3,16.4,77.1,-200
4,-200,4.8,16.6,77.3,-200
5,-200,4.8,15.9,78.1,-200
6,-200,7.7,15.1,82.3,-200
7,-200,4.3,14.8,83.8,-200
8,-200,3,14.4,84.6,-200
9,-200,2.1,15.8,77.6,-200
10,-200,2.3,15.2,79.4,-200
11,-200,3.5,14.8,81.9,-200
12,-200,10,14.6,82.9,-200
13,-200,20.5,14.8,80.4,-200
14,-200,22.2,15.6,77.1,-200
15,-200,24.1,17.3,70.9,-200
16,-200,17.4,22.2,51.3,-200
17,-200,14.2,24.4,43.9,-200
18,-200,15,22.7,47.6,-200
19,-200,18.3,20.5,61.5,-200
20,-200,13,23.3,40.4,-200
21,-200,18.1,23.2,39.9,-200
22,-200,23.1,21.5,44.5,-200
23,-200,24.9,20.9,48.5,-200
0,-200,21.7,19.8,53.1,-200
1,-200,14.1,20.1,53.6,-200
2,-200,11.9,19.6,56,-200
3,-200,5.1,18.6,60.4,-200
4,-200,6.8,14.5,78.3,-200
5,-200,4.8,16.3,70.5,-200
6,-200,7.2,14.1,83.8,-200
7,-200,5.4,14.5,81.3,-200
8,-200,3,14.7,80.7,-200
9,-200,3.7,14.5,82.1,-200
10,-200,3.6,15,78.4,-200
11,-200,4.7,14.5,80.5,-200
12,-200,6.9,14.6,79,-200
13,-200,7.7,15,74.8,-200
14,-200,12.2,15.9,70.4,-200
15,-200,9.6,17.4,62.3,-200
16,-200,9.6,21.3,42.9,-200
17,-200,8.3,22,38.9,-200
18,-200,7,20.3,41.3,-200
19,-200,8.2,20.2,45.6,-200
20,-200,4.5,20.8,37.4,-200
21,-200,5.5,21.6,35.9,-200
22,-200,8.7,22,35.7,-200
23,-200,8.7,19.9,42,-200
0,-200,14,19.2,46.3,-200
1,-200,9.5,17.9,56.9,-200
2,-200,7.9,14.7,75.5,-200
3,-200,6.2,15.1,78.9,-200
4,-200,4,17.2,66.7,-200
5,-200,4.4,15.4,73.2,-200
6,-200,2.6,16.5,68.5,-200
7,-200,2.7,16.4,70.3,-200
8,-200,3.8,15.4,78.1,-200
9,-200,3.6,15.8,75.5,-200
10,-200,2.2,16,69.5,-200
11,-200,1.7,15,71,-200
12,-200,2.1,13.9,75.2,-200
13,-200,2.3,15.9,62.1,-200
14,-200,4.8,15.9,61,-200
15,-200,5.6,17.1,58.7,-200
16,-200,6.8,19.2,51.9,-200
17,-200,6.2,21.5,42.6,-200
18,-200,6.8,21.6,39.9,-200
19,-200,11.1,21.6,40.4,-200
20,-200,12.2,22,37.3,-200
21,-200,4.7,22.1,35.2,-200
22,-200,5.1,22.4,36,-200
23,-200,12.7,20.9,40.3,-200
0,-200,11.6,19.8,41.5,-200
1,-200,12.7,18.2,46,-200
2,-200,9.7,17.3,50.3,-200
3,-200,7.8,15.8,57.6,-200
4,-200,6.8,15.5,59.7,-200
5,-200,8.1,15.5,60.6,-200
6,-200,5.4,15.8,59.9,-200
7,-200,4.4,14.8,64.3,-200
8,-200,2.4,14.8,64.7,-200
9,-200,1.6,13.8,67.6,-200
10,-200,1.8,14.5,65,-200
11,-200,3.1,14,67.4,-200
12,-200,9.2,12.6,73.6,-200
13,-200,20.8,13.3,70.4,-200
14,-200,26.8,14.4,65.8,-200
15,-200,17.7,16.8,57.8,-200
16,-200,14.2,19.7,49.3,-200
17,-200,16.8,21.1,47.2,-200
18,-200,16,22.2,43.2,-200
19,-200,19.9,21.4,47.2,-200
20,-200,18.5,19.9,55.4,-200
21,-200,21.4,20.3,54,-200
22,-200,22.8,20,56.5,-200
23,-200,36.5,19.7,57.8,-200
0,-200,38.8,19.3,59,-200
1,-200,32.3,18.5,60.3,-200
2,-200,29.3,17.8,66.3,-200
3,-200,14.2,17.6,65.9,-200
4,-200,8,17.5,63.5,-200
5,-200,7.4,16.5,67.2,-200
6,-200,7.2,16.2,69.1,-200
7,-200,8,14.9,74.7,-200
8,-200,6.5,14.1,76.7,-200
9,-200,5.2,14,76.6,-200
10,-200,5.6,14.9,73.8,-200
11,-200,7,15.2,73.1,-200
12,-200,11.5,15.2,73.4,-200
13,-200,21.7,15.2,74.7,-200
14,-200,37.9,15.8,71.7,-200
15,-200,30.1,16.6,68.4,-200
16,-200,24.5,17.6,64.9,-200
17,-200,25.2,18.3,63.8,-200
18,-200,26.5,19.4,61.1,-200
19,-200,19.6,20.9,58.1,-200
20,-200,13.4,22,54,-200
21,-200,15.3,22.8,53,-200
22,-200,15.1,21.7,57.6,-200
23,-200,21.1,21.3,60.8,-200
0,-200,23.6,21.2,61.7,-200
1,-200,25.7,21.2,62.2,-200
2,-200,27.2,20.8,65.1,-200
3,-200,24.4,19.9,69,-200
4,-200,20.3,18.8,73.7,-200
5,-200,14.8,19.2,71.3,-200
6,-200,12.8,19,71.6,-200
7,-200,10,19.5,69.7,-200
8,-200,9.3,19.4,70.1,-200
9,-200,9.3,18.4,74.5,-200
10,-200,8.8,18.7,73.4,-200
11,-200,10.2,18.4,74.6,-200
12,-200,13.1,18.5,74.4,-200
13,-200,26.1,18.8,73,-200
14,-200,37.9,19.9,69.9,-200
15,-200,26.2,21.3,66.1,-200
16,-200,23.1,23,61.8,-200
17,-200,26,22.4,64.6,-200
18,-200,28.1,23.8,59.9,-200
19,-200,28,24.7,56.9,-200
20,-200,24.6,25.4,55.1,-200
21,-200,22.4,25.7,54.5,-200
22,4.7,30.9,24.8,57.7,652
23,8,43.7,24.6,58.9,895
0,7.7,40,23.9,61.8,826
1,6.8,35.9,23,65.9,648
2,6,30.1,22.4,67.7,629
3,4.7,22.3,22,69.2,529
4,3.4,17.7,21.8,69.6,405
5,3.9,19.5,21.9,68.3,461
6,4.4,22.3,21.7,69.7,486
7,3.3,15.4,21.3,70.3,335
8,2,9.3,20.8,71.7,210
9,1.5,6,21.4,69,-200
10,-200,6.6,21.4,69.3,99
11,0.8,5.1,21.3,69.5,149
12,1.3,8.8,21.5,67.5,203
13,2.7,16.6,21.9,64.8,332
14,3.6,24.3,22.6,61.4,446
15,3.6,20.6,22.6,61.5,524
16,2.6,15.6,25.5,52.3,347
17,2,12.2,27,47.6,273
18,3.3,17.7,25.2,53.3,404
19,2.6,14.8,26.6,49.3,-200
20,2.1,15,27.2,48.5,312
21,2.9,16.7,26.9,50,369
22,3,17.7,26.5,52.2,362
23,3.2,20.9,27,51,335
0,4.4,28.7,25.9,55.8,447
1,6,34.8,25.1,59.4,576
2,5,27.5,24.7,58.7,486
3,4.3,24.9,23.6,62.2,439
4,4.3,24.2,22.4,67.1,462
5,4.2,22.2,21.6,69.2,441
6,2.2,13.2,21.3,68.5,223
7,1.3,7.9,21.2,68.6,126
8,1,5.9,20.3,70.6,116
9,0.7,4.1,20.8,67.3,-200
10,-200,4.6,19.6,71.3,125
11,0.9,5.8,18.7,74.4,198
12,1,6.5,19.8,69.2,185
13,2.8,19.5,19.8,69.4,425
14,4.1,28,20.4,66.7,465
15,2.9,18.7,22.3,60.6,341
16,2.7,18.3,22.6,59.9,316
17,2.1,14.3,24.5,54.5,241
18,2.4,16.5,24.4,55.4,266
19,3.8,22.9,26,51.9,412
20,3.7,22.3,26.8,49.1,394
21,3.7,22,26.4,49.8,365
22,5.5,27.7,26.9,48.6,548
23,5.4,29.8,26.2,48.9,494
0,8.4,40,24.3,54.3,686
1,6.8,35.1,23.3,58.1,556
2,4.5,25.5,22.3,62.5,467
3,2.5,13.7,21.3,66.1,297
4,1.6,9.7,21.2,65.7,164
5,1.7,9.8,20.3,68.1,196
6,1.7,10.1,20.4,66.7,201
7,1.1,6,19.9,67.5,132
8,1,6,19.1,70,146
9,0.8,4.6,19.3,68.1,-200
10,-200,4,19.6,66.9,94
11,0.7,4.6,18.1,72.1,127
12,1.2,7.6,18.1,72.3,217
13,2.3,13.6,17.6,74.8,394
14,3,16,18.2,72.8,511
15,3.3,18.9,20.2,65.8,523
16,2.8,15.7,21.6,61.4,471
17,3,16.2,23.3,57.5,441
18,3.4,19.4,25,52.4,414
19,3,16.9,25.4,50.8,317
20,2.3,12.5,26.1,47.1,230
21,3.1,15.8,27,44.2,365
22,3,16,27.2,43,360
23,3.3,16.3,25.6,48.3,420
0,4,21,23.3,57.9,475
1,4.6,23.1,22.2,63.6,526
2,4.1,17.7,21.6,67.7,460
3,2.3,12.2,21,69.3,255
4,2.6,14.6,20.3,70.5,283
5,2.6,13.1,20,69.5,271
6,2.9,15.5,19.7,70.1,315
7,2.1,11.8,19.5,70.7,227
8,2.1,10.9,19.4,71.4,243
9,1.5,8.4,19.3,71.1,-200
10,-200,7,18.7,73.8,142
11,1.4,8.6,18,75.4,139
12,1.2,7.5,17.3,78.4,182
13,1.5,8.1,17.5,76.6,196
14,0.9,4.8,20,66.7,108
15,1.4,7.8,19.1,70,175
16,2.1,9.7,21.4,61.7,266
17,1.6,8.4,24.6,50.4,179
18,1.5,7.6,25,49.1,154
19,1.1,5.9,25.3,46.7,95
20,1.4,7.4,24.8,47.9,151
21,2,10.1,25.3,48,230
22,2,9.7,26.5,44.9,239
23,2.5,11.8,25,50.1,306
0,4.3,20.3,22.9,57.6,472
1,5.2,24.3,21.7,62.9,532
2,3.4,15.6,21.8,63,375
3,1.3,7.3,21.2,63.4,147
4,1.2,7.1,20.2,65.8,118
5,1.7,9,18.4,71.5,181
6,1.7,8.9,17.9,72.4,209
7,1.4,7.2,16.9,75.4,167
8,0.9,4.4,16.5,75.5,112
9,0.7,4.1,15.4,79,-200
10,-200,4.3,15.5,78.6,108
11,0.9,5.9,16.2,76.9,181
12,1.2,7.2,15.8,79.6,253
13,3.2,18.5,16,76.3,521
14,4.4,25,16.3,74.3,649
15,3.5,18.8,18.7,66.3,516
16,3.2,19.5,20.5,60.2,487
17,3,18.2,19.3,66.2,529
18,3.5,20,20,63.9,565
19,4,24.8,21.4,59.4,558
20,3.8,23.1,21.5,60.9,568
21,4.2,25.5,21.6,60.9,605
22,5,32,21.6,62,666
23,7.9,46.3,21.7,61.9,814
0,8.4,44.5,21,64.9,860
1,8,41,20,68.6,820
2,6.4,32.5,19.3,71.4,742
3,3.5,19.1,18.5,73.4,492
4,3.5,19.6,17.7,75.6,464
